OriginalName,DatabaseName,Participant,SessionID,Timestamp,VideoTime,Value
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,E3EA2AE7-06A7-5981-C328-DF08F06834BE,1680101490250,0,0
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,E3EA2AE7-06A7-5981-C328-DF08F06834BE,1680101491462,1136,1
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,E3EA2AE7-06A7-5981-C328-DF08F06834BE,1680101492412,2085,0
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,E3EA2AE7-06A7-5981-C328-DF08F06834BE,1680101492528,2201,-1
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,E3EA2AE7-06A7-5981-C328-DF08F06834BE,1680101492644,2317,-2
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,E3EA2AE7-06A7-5981-C328-DF08F06834BE,1680101493262,2935,-3
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,E3EA2AE7-06A7-5981-C328-DF08F06834BE,1680101493513,3187,-4
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,E3EA2AE7-06A7-5981-C328-DF08F06834BE,1680101493979,3653,-5
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,E3EA2AE7-06A7-5981-C328-DF08F06834BE,1680101494661,4335,-6
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,E3EA2AE7-06A7-5981-C328-DF08F06834BE,1680101498729,8403,-5
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,E3EA2AE7-06A7-5981-C328-DF08F06834BE,1680101499296,8970,-4
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,E3EA2AE7-06A7-5981-C328-DF08F06834BE,1680101500612,10286,-3
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101529680,0,0
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101530996,1268,1
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101531229,1502,0
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101531696,1969,-1
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101532479,2751,-2
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101532878,3151,-3
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101533546,3819,-4
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101534046,4318,-5
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101534562,4835,-6
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101535046,5319,-7
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101535596,5869,-8
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101535879,6151,-9
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101537545,7817,-8
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101537962,8235,-7
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101538512,8784,-6
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101538762,9034,-5
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101539112,9385,-4
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101539679,9952,-3
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101539945,10218,-2
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101540229,10502,-1
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101542846,13119,0
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101543496,13769,1
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101543679,13952,2
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101543913,14185,3
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101544146,14418,4
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101544463,14736,5
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101544996,15269,6
TriangleWave video (XfF2tLZMEZU&amp;ab_channel) - 33,1368606C-2DED-E906-2F1E-C611A5842291_1,170FE9CD-7D74-2063-7334-E800F4C8B242,15878DF7-BD78-3D31-AC50-47539FEE85EA,1680101545246,15518,7
